,code,disindexla,GDP_rppp,gdp_g,k_g,tfp,tfp_g,decade,l1savgnatshock,l1savgpolshock,l1savgrevshock,l1savgtershock,natshock,polshock,revshock,tershock,year,ret,exchgvol,country,tsset_period,tsset_country,GDPPerCap,idgdp,iydgdp,scale_natshock,scale2_natshock,scale_polshock,scale2_polshock,scale_revshock,scale2_revshock,scale_tershock,scale2_tershock,scale_floshock,scale2_floshock,scale_nfloshock,scale2_nfloshock,scale_erqshock,scale2_erqshock,scale_stoshock,scale2_stoshock,scale_onatshock,scale2_onatshock,scale_d_polshock,scale2_d_polshock,scale_d_tershock,scale2_d_tershock,scale_d_natshock,scale2_d_natshock,scale_d_floshock,scale2_d_floshock,scale_d_nfloshock,scale2_d_nfloshock,scale_d_onatshock,scale2_d_onatshock,scale_d_stoshock,scale2_d_stoshock,scale_d_erqshock,scale2_d_erqshock,scale_d_revshock,scale2_d_revshock,lvol,lavgvol,l1lvol,l1lavgvol,avgret,l1ret,l1avgret,savgnatshock,savgpolshock,savgrevshock,savgtershock,l1iydgdp,l1avgnatshock_25,l1avgpolshock_25,l1avgrevshock_25,l1avgtershock_25,lavgbondvol,l1lavgbondvoly,avgbondyield,l1avgbondyield,lavgcs_vol,l1lavgcs_vol,l1avgcs_skew,l1lavgcs_kurt,avgcs_ret,l1avgcs_ret,avggdp_for_med,lavggdp_for_span,l1avgexR,lavgexchgvol,l1lavgexchgvol,lavgexchangerate,l1avgskew,l1lavgkurt,yy1,yy2,yy3,yy4,yy5,yy6,yy7,yy8,yy9,yy10,yy11,yy12,yy13,yy14,yy15,yy16,yy17,yy18,yy19,yy20,yy21,yy22,yy23,yy24,yy25,yy26,yy27,yy28,yy29,yy30,yy31,yy32,yy33,yy34,yy35,yy36,yy37,yy38,yy39,yy40,yy41,yy42,yy43,yy44,yy45,yy46,yy47,yy48,yy49,yy50,yy51,yy52,yy53,yy54,yy55,yy56,yy57,yy58,yy59,yy60,yy61,yy62,yy63,yy64,yy65,yy66,yy67,yy68,yy69,yy70,yy71,yy72,yy73,yy74,yy75,yy76,yy77,yy78,yy79,yy80,yy81,yy82,yy83,yy84,yy85,yy86,yy87,yy88,yy89,yy90,yy91,yy92,yy93,yy94,yy95,yy96,yy97,yy98,yy99,yy100,yy101,yy102,yy103,yy104,yy105,yy106,yy107,yy108,yy109,yy110,yy111,yy112,yy113,yy114,yy115,yy116,yy117,yy118,yy119,yy120,yy121,yy122,yy123,yy124,yy125,yy126,yy127,yy128,yy129,yy130,yy131,yy132,yy133,yy134,yy135,yy136,yy137,yy138,yy139,yy140,yy141,yy142,yy143,yy144,yy145,yy146,yy147,yy148,yy149,yy150,yy151,yy152,yy153,yy154,yy155,yy156,yy157,yy158,yy159,yy160,yy161,yy162,yy163,yy164,yy165,yy166,yy167,yy168,yy169,yy170,yy171,yy172,yy173,yy174,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,cc11,cc12,cc13,cc14,cc15,cc16,cc17,cc18,cc19,cc20,cc21,cc22,cc23,cc24,cc25,cc26,cc27,cc28,cc29,cc30,cc31,cc32,cc33,cc34,cc35,cc36,cc37,cc38,cc39,cc40,cc41,cc42,cc43,cc44,cc45,cc46,cc47,cc48,cc49,cc50,cc51,cc52,cc53,cc54,cc55,cc56,cc57,cc58,cc59,cc60,lpop,ivrich_l1savgnatshock,ivpost_l1savgnatshock,ivbig_l1savgnatshock,ivrich_l1savgpolshock,ivpost_l1savgpolshock,ivbig_l1savgpolshock,ivrich_l1savgrevshock,ivpost_l1savgrevshock,ivbig_l1savgrevshock,ivrich_l1savgtershock,ivpost_l1savgtershock,ivbig_l1savgtershock,evrich_l1avgret,evpost_l1avgret,evbig_l1avgret,evrich_l1lavgvol,evpost_l1lavgvol,evbig_l1lavgvol
1,ARG 1979,0.001289077,384.25,NA,0.028263311,NA,NA,1970,0,0,0,0,0,0,0,0,1979,0.006690739,0.906266093,ARG,7919,1,14333,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.402185917,-3.270004749,-3.241214037,-3.198239803,0.103802755,-0.366779536,-0.003591865,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.197658837,-0.104170084,-0.100124426,-18.20352554,0.112327993,1.088758826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.22830296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003591865,0,0,-3.198239803
2,ARG 1979,0.001289077,384.25,NA,0.028263311,NA,NA,1970,0,0,0,0,0,0,0,0,1979,0.315856874,0.785361707,ARG,7917,1,14333,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.005992413,-3.262939215,-3.502613068,-3.437982798,0.241997629,0.459442943,0.089138672,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.219084844,0.175648391,0.172306612,-18.4857235,0.627321661,1.106019497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.22830296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089138672,0,0,-3.437982798
3,ARG 1979,0.001289077,384.25,NA,0.028263311,NA,NA,1970,0,0,0,0,0,0,0,0,1979,-0.366779536,0.962162197,ARG,7918,1,14333,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.241214037,-3.198239803,-3.005992413,-3.262939215,-0.003591865,0.315856874,0.241997629,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23140341,-0.100124426,0.175648391,-18.33566856,0.673854649,1.164690256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.22830296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241997629,0,0,-3.262939215
4,ARG 1979,0.001289077,384.25,NA,0.028263311,NA,NA,1970,0,0,0,0,0,0,0,0,1979,0.459442943,0.950498104,ARG,7916,1,14333,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.502613068,-3.437982798,-3.109763861,-3.396813869,0.089138672,-0.422887743,0.062470309,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.285823405,0.172306612,0.383210659,-18.62971878,0.654383123,1.05927074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.22830296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062470309,0,0,-3.396813869
5,ARG 1980,0.001344475,389.83,NA,0.03067897,NA,NA,1980,0,0,0,0,0,0,0,0,1980,0.366203517,0.018883429,ARG,7920,1,14333,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.516685009,-3.272777081,-3.402185917,-3.270004749,0.080492899,0.006690739,0.103802755,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.209528387,-0.40321508,-0.104170084,-18.08001137,0.050154436,1.010345101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.24329376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103802755,0,0,-3.270004749
6,ARG 1980,0.001344475,389.83,NA,0.03067897,NA,NA,1980,0,0,0,0,0,0,0,0,1980,-0.36384663,0.011039866,ARG,7923,1,14333,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.686079264,-3.587777853,-3.725175142,-3.516025782,-0.162498176,-0.140959293,-0.069863826,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.132682115,-3.969982624,-1.416010261,-17.81360245,0.352208376,0.81799829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.24329376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.069863826,0,0,-3.516025782
7,ARG 1980,0.001344475,389.83,NA,0.03067897,NA,NA,1980,0,0,0,0,0,0,0,0,1980,-0.140959293,0.022262326,ARG,7922,1,14333,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.725175142,-3.516025782,-3.449477911,-3.397130251,-0.069863826,-0.511390269,-0.126318887,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.170433477,-1.416010261,-0.738865972,-17.87969398,0.049663264,0.845516682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.24329376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126318887,0,0,-3.397130251
8,ARG 1980,0.001344475,389.83,NA,0.03067897,NA,NA,1980,0,0,0,0,0,0,0,0,1980,-0.511390269,0.02330943,ARG,7921,1,14333,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.449477911,-3.397130251,-3.516685009,-3.272777081,-0.126318887,0.366203517,0.080492899,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.181825653,-0.738865972,-0.40321508,-17.96905136,0.042068649,0.931613326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.24329376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080492899,0,0,-3.272777081
9,ARG 1981,0.001180847,368.72,NA,0.031844365,NA,NA,1980,0,0,0,0,0,0,0,0,1981,-0.25010854,1.19948566,ARG,7926,1,14333,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.477333307,-3.401839256,-3.230409384,-3.454068422,-0.205509022,-0.415951967,-0.178221703,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.459282637,0.686247528,0.525877178,-17.17132187,0.611079097,0.987446249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.25848675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178221703,0,0,-3.454068422
10,ARG 1981,0.001180847,368.72,NA,0.031844365,NA,NA,1980,0,0,0,0,0,0,0,0,1981,-0.415951967,5.447167397,ARG,7925,1,14333,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.230409384,-3.454068422,-3.276857138,-3.517552376,-0.178221703,0.20787105,-0.202081293,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12366467,0.525877178,-1.090710163,-17.53054047,0.550491929,0.939604521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.25848675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.202081293,0,0,-3.517552376
